run	arquivo	bytes	sha256
run000	splat.ply	1365111382	30402b675be08fda2e48e3f20a8210878f08deea5f05d2d92efb3dcc759e8582
run000	val_png_count	24	-
run000	dir_total_bytes	1508896605	-
run001	splat.ply	1371986770	491d696d32e8931930462d7ad09591c1e379d694d18955857d04f4dc2401d2df
run001	val_png_count	24	-
run001	dir_total_bytes	1515756296	-
run002	splat.ply	1369804714	ca1243af9e0fe2351854b08d0961d51e3d50c9bfd3eca3244e66af20c5fbb5ec
run002	val_png_count	24	-
run002	dir_total_bytes	1513589745	-
run003	splat.ply	1377427042	8d83019bc69c117d755f3df2dd5c968d3f56422439e1970bc96c1374b45a8d5a
run003	val_png_count	24	-
run003	dir_total_bytes	1521218328	-
run004	splat.ply	1364650474	847950a2fa95884bc70df8adc83fa605b2b26574e51ee9f7c7ddd85f4790c229
run004	val_png_count	24	-
run004	dir_total_bytes	1508456366	-
run005	splat.ply	1368055482	8e566f85dc931c8e2ee91c96f4e82be94df66fcae0249d53553b8114ab244be9
run005	val_png_count	24	-
run005	dir_total_bytes	1511842195	-
run006	splat.ply	1363443334	9ac74c49a6943a3efd5e2f021110921a2d225a68b0d825850e72fc3e777de137
run006	val_png_count	24	-
run006	dir_total_bytes	1507226531	-
run007	splat.ply	1372438946	3718a6af82fbca649e38bf11ecf65b29a271d1a47b10c8ee87a70d0656987166
run007	val_png_count	24	-
run007	dir_total_bytes	1516240860	-
run008	splat.ply	1365924638	646b52a6965bc1ab94660c457bc7c7054f152888c3382a87f42dd1c75f3486a2
run008	val_png_count	24	-
run008	dir_total_bytes	1509708227	-
run009	splat.ply	1366879966	366330a1932e56cb3118483f60b4223cb6c53d48ed11e0f1973c3e63e11d2254
run009	val_png_count	24	-
run009	dir_total_bytes	1510673784	-
run010	splat.ply	1376446462	a668185766f410c9cdd3168dbede870df84ce8b37a5346bc0990c94a7061c374
run010	val_png_count	24	-
run010	dir_total_bytes	1520246875	-
run011	splat.ply	1371008078	1e467176a452cdedb42337efce3ed5f7eb0bf47860ce795b3cb80ca1e6aec228
run011	val_png_count	24	-
run011	dir_total_bytes	1514788539	-
run012	splat.ply	1369884010	6989f0a8d03b604db6411712d3001f602506d15c749e2ef415376459e0aa6cd9
run012	val_png_count	24	-
run012	dir_total_bytes	1513691864	-
run013	splat.ply	1367248362	f0ec73d0b9495d0f6b270d7c59bbe2e14de5d64be53228bd3101e4cf7330f77a
run013	val_png_count	24	-
run013	dir_total_bytes	1511033469	-
run014	splat.ply	1367467842	7f600ce493dc83e32c7c06386e670d18516a94b4031ca2871e6702b1d71d0947
run014	val_png_count	24	-
run014	dir_total_bytes	1511263505	-
run015	splat.ply	1365693594	aedafac4a1c377038afac816317f4984da3ed9681129c84758061b0bf995bcdc
run015	val_png_count	24	-
run015	dir_total_bytes	1509488225	-
run016	splat.ply	1370295122	eaabe32bb9cb56f081f1fffee013a464cb814285a6bcaaeb4d31c8f3928effa8
run016	val_png_count	24	-
run016	dir_total_bytes	1514061785	-
run017	splat.ply	1366147658	2d9a0706983098b9ba1875fb25eb114efd7c39d981e30a091a2a16fb3c34f31d
run017	val_png_count	24	-
run017	dir_total_bytes	1509932059	-
run018	splat.ply	1369220614	522b20ca191721e7bddd215eea9f9f6f5218977a36de3b72570517124a3cd786
run018	val_png_count	24	-
run018	dir_total_bytes	1513016059	-
run019	splat.ply	1370403210	0417f8c592e99f844746bd33b0edc672b42c87c357be421057b2f045d11b03d5
run019	val_png_count	24	-
run019	dir_total_bytes	1514185004	-
